song DanceOfEternity
bpm 247.5
count 9
notespeed 5
camerasize 7
-

// 8/8
1 r
6 u

// 7/8
9 r
14 d

// 6/8
16 l
22 r
25 u

// 8/8
28 l
28.5 u
29.5 r
30 u
30.5 r
31.5 d
32 r
33 u

// 7/8
36 r
36.667 u
37.333 u
38 d
38.667 d
39.333 l
40 u
41 r

// 6/8
43 r
45 u
47 u
49 d
50 l
50.5 l
51 l
51.5 l
52 d
53 r
53.5 r
54 r
54.5 r

// 8/8
55 u
57 r
60 u
62 l

// 7/8
64 d
65 r
67 r
69 l

// 6/8
70 l
72 d
75 u

// 7/8
76 u
78 r
80 r
82 u

// 8/8
83 u
85 r
88 u
90 l

// 7/8
92 d
93 r
95 r
97 l

// 6/8
98 l
100 d
103 u


// 7/8
104 u
106 r
108 r
110 u

// 13/16
111 l
112 u
112.5 l
113.5 u
114 u
114.5 u
115 r
115.5 r
116 d
116.5 d
117 l

// 15/16
117.5 r
118.5 u
119 r
120 u
120.5 r
121.5 u
122 u
122.5 l
123 l
123.5 d
124 d
124.5 r

// 17/16
125 l
126 u
126.5 l
127.5 u
128 l
129 l
130 u
130.5 u
131 r
131.5 r
132 d
132.5 d
133 l

