song KyoufuuAllBack
bpm 135
count 4
notespeed 7
camerasize 7
-

// soto deta shunkan owatta wa
2 u
3 l
4 d
4.5 r
5 r
6 l
6.5 r
7.5 u
8 d
// (clap clap)
8.5 l
9 l

// tenki wa ii no ni susumenai
10 r
11 l
11.5 l
12 u
13 d
13.5 d
14 r
14.5 u
15 l
15.5 d
16 u

// kaze tsu yo su gi te o na ku na ri
17 r
18 u
19 l
19.5 l
20 l
20.5 l
21 l
22 l
22.5 l
23 l
23.5 l
24 l
// (clap clap)
24.5 r
25 r

// teiki teiki teki ni oorubakku
26 u
27 u
28 u
28.5 l
29 r
30 u
31 d
32 r
32.5 r
33 d

34 u
35.5 l
36 d
36.5 r
37 r
38 d
38.5 r
39 r
40 d
40.5 r
41 r
41.5 l

42 u
43.5 l
44 d
44.5 r
45 l
46 d
46.5 r
47 r
48 d
48.5 r
49 r
49.5 l

50 u
51.5 l
52 d
52.5 r
53 r
54 d
54.5 r
55 r
56 d
56.5 r
57 r
57.5 l

58 u
59.5 l
60 d
60.5 r
61 r
62 d
62.5 r
63 l
63.5 u
64 l

// chika ni moguritai na
66 d
67.5 u
68 r
69.5 d
70 l
70.5 l
71 u
71.5 l
72 d

// tte omoimashita
76 l
77.5 d
78 r
78.5 r
79 l
79.5 u
80 d

// kaze sae naku nareba 
82 l
83 l
83.5 u
84 d
86 r
86.5 r
87 u
87.5 r
88 d

// attakai no ni
93 l
94 r
94.5 r
95 u
95.5 l
96 d

// zutto suwaritai na
98 d
99.5 u
100 l
101.5 d
102 r
102.5 r
103 u
103.5 r
104 d

// tte omoimashita
108 r
109.5 d
110 l
110.5 l
111 r
111.5 u
112 d

// iyaiya to soto detara
114 l
115 r
115.5 l
116 r
117.5 u
118 r
118.5 r
119 l
119.5 d
120 u

// hato hato hato hato da i ra n tou
122 l 0
123 l 0 
124 l 0
125 l 0

126 r 0
126.5 l 0
127 r 0
127.5 l 0
128 r 0
128.5 l 0
129 d

// soto deta shunkan owatta wa
130 u
131 l
132 d
132.5 r
133 r
134 l
134.5 r
135.5 u
136 d
// (clap clap)
136.5 l
137 l

// tenki wa ii no ni susumenai
138 r
139 l
139.5 l
140 u
141 d
141.5 d
142 r
142.5 u
143 l
143.5 d
144 u

// kaze tsu yo su gi te o na ku na ri
145 r
146 u
147 l
147.5 l
148 l
148.5 l
149 l
150 l
150.5 l
151 l
151.5 l
152 l
// (clap clap)
152.5 r
153 r

// teiki teiki teki ni oorubakku
154 u
155 u
156 u
156.5 l
157 r
158 u
159 d
160 r
160.5 r
161 u

162 d
166 d
170 d
171 d
172 d
173 d
174 d
175 d
176 d
177 d

178 u
179.5 l
180 d
180.5 r
181 r
182 d
182.5 r
183 r
184 d
184.5 r
185 r
185.5 l

186 u
187.5 l
188 d
188.5 r
189 r
190 d
190.5 r
191 l
191.5 u
192 d
192.5 u

// soto deta shunkan owatta wa
194 l
194.75 r
195 l
195.5 r
196 l
196.5 r
197 u
198 l
198.5 r
199.5 u
200 d
// (clap clap)
200.5 l
201 l

// tenki wa ii no ni susumenai
202 r
203 l
203.5 l
204 u
205 d
205.5 d
206 r
206.5 u
207 l
207.5 d
208 u

// kaze tsu yo su gi te o na ku na ri
209 r
210 u
211 l
211.5 l
212 l
212.5 l
213 l
214 l
214.5 l
215 l
215.5 l
216 l
// (clap clap)
216.5 r
217 r

// teiki teiki teki ni oorubakku
218 u
219 u
220 u
220.5 l
221 r
222 u
223 d
224 r
224.5 r
225 d

// so to deta shunkan owatta wa
226 u
227 r
228 d
228.5 l
229 l
230 r
230.5 l
231.5 u
232 d
// (clap clap)
232.5 r
233 r

// tenki wa ii no ni susumenai
234 l
235 r
235.5 r
236 u
237 d
237.5 d
238 l
238.5 u
239 r
239.5 d
240 u

// kaze tsu yo su gi te o na ku na ri
241 r
242 u
243 l
243.5 l
244 l
244.5 l
245 l
246 l
246.5 l
247 l
247.5 l
248 l
// (clap clap)
248.5 r
249 r

// teiki teiki teki ni oorubakku
250 u
251 u
252 u
252.5 r
253 l
254 u
255 d
256 l
256.5 l
257 d

// kaminoke kyoufuu oorubakku
258 u
259 u
260 l
260.5 r
261 d
262 u
263 l
264 r
264.5 r
265 d

266 u
267.5 l
268 d
268.5 r
269 r
270 d
270.5 r
271 r
272 d
272.5 r
273 r
273.5 l

274 u
275.5 l
276 d
276.5 r
277 l
278 d
278.5 r
279 r
280 d
280.5 r
281 r
281.5 l

282 u
283.5 l
284 d
284.5 r
285 r
286 d
286.5 r
287 r
288 d
288.5 r
289 r
289.5 l

290 u
291.5 l
292 d
292.5 r
293 r
294 d
294.5 r
295 l
295.5 u
296 l
297 d


